SURVEY_YEAR,BIOMASS_MT_MALE_LE119,CV_BIOMASS_MT_MALE_LE119,CI_BIOMASS_MT_MALE_LE119,BIOMASS_MT_MALE_GE120,CV_BIOMASS_MT_MALE_GE120,CI_BIOMASS_MT_MALE_GE120,BIOMASS_MT_MALE_GE135,CV_BIOMASS_MT_MALE_GE135,CI_BIOMASS_MT_MALE_GE135,BIOMASS_MT_MALE_LE94,CV_BIOMASS_MT_MALE_LE94,CI_BIOMASS_MT_MALE_LE94,BIOMASS_MT_MALE_GE65,CV_BIOMASS_MT_MALE_GE65,CI_BIOMASS_MT_MALE_GE65,BIOMASS_MT_MALE_95TO109,CV_BIOMASS_MT_MALE_95TO109,CI_BIOMASS_MT_MALE_95TO109,BIOMASS_MT_MALE_110TO134,CV_BIOMASS_MT_MALE_110TO134,CI_BIOMASS_MT_MALE_110TO134,BIOMASS_MT_IMMATURE_FEMALE,CV_BIOMASS_MT_IMMATURE_FEMALE,CI_BIOMASS_MT_IMMATURE_FEMALE,BIOMASS_MT_MATURE_FEMALE,CV_BIOMASS_MT_MATURE_FEMALE,CI_BIOMASS_MT_MATURE_FEMALE
1998,13035.26138,0.201671955,5152.539415,33297.24143,0.160122494,10450.00921,19409.20281,0.173456424,6598.635772,2196.088804,0.311512318,1340.85308,46208.56837,0.162424884,14710.6259,3094.576141,0.247438794,1500.807647,21632.63505,0.199314141,8450.912534,2161.061396,0.283416481,1200.461615,35848.5659,0.254605857,17889.41953
1999,5093.298355,0.322815649,3222.624975,39869.50336,0.216808551,16942.3365,30004.5222,0.217696539,12802.48604,2267.125189,0.556681181,2473.649216,44528.74007,0.209847198,18314.69344,1137.358235,0.398524012,888.3985513,11553.79609,0.27817174,6299.321533,1162.711764,0.475438152,1083.483165,19125.95876,0.354142458,13275.69553
2000,6961.14771,0.221784153,3025.989607,31450.46798,0.172567608,10637.57078,22090.03573,0.1662364,7197.449323,2711.611182,0.362669059,1927.49825,38390.7089,0.163940336,12335.81998,2503.533608,0.241736259,1186.181905,11106.43517,0.230351146,5014.42494,2615.242105,0.317539935,1627.669865,26386.9674,0.349705463,18086.22665
2001,8941.873088,0.193060422,3383.590717,19059.82084,0.153810366,5745.932106,15360.35731,0.160717895,4838.621205,2080.872844,0.369743969,1508.004759,27942.6571,0.145699385,7979.606772,4492.741515,0.194923237,1716.449849,6067.722262,0.181509715,2158.647054,1692.123209,0.452636463,1501.196663,22866.21633,0.305739695,13702.57562
2002,12113.39908,0.273086477,6483.690732,33359.31552,0.19354178,12654.58576,25241.06478,0.196393875,9716.093401,4793.054046,0.458747914,4309.654945,45139.9042,0.19480395,17235.12604,2428.760687,0.271705692,1293.41988,13009.83508,0.23570658,6010.347326,5150.067152,0.454474498,4587.525403,19143.53712,0.274680594,10306.38197
2003,11514.27362,0.196684653,4438.774575,63271.28228,0.466998913,57913.33532,51114.70104,0.524936927,52590.7084,5020.013839,0.23394427,2301.830809,74640.98625,0.40590853,59382.9295,3775.864708,0.250379276,1852.980613,14874.97631,0.249100742,7262.520555,5642.086629,0.242009844,2676.263388,35587.49891,0.23061025,16085.41033
2004,27916.8274,0.406944436,22266.77128,63159.05046,0.436646418,54053.21935,53895.09252,0.449093853,47439.75131,6593.794326,0.555225721,7175.646648,90354.33708,0.395083131,69967.04973,11999.48419,0.513646026,12080.43524,18587.50682,0.430590253,15687.05455,6161.626583,0.473597603,5719.537902,34825.87566,0.272333601,18589.142
2005,17036.42941,0.297001048,9917.281297,38105.25558,0.187733504,14021.12101,28373.47094,0.21405144,11903.82936,6863.13057,0.464272483,6245.270829,54789.47541,0.180858773,19421.94835,5342.134634,0.408390295,4276.084836,14562.94885,0.204096638,5825.607844,8454.578884,0.446105076,7392.395894,42715.35923,0.21266692,17804.922
2006,11756.25036,0.203913072,4698.616135,39808.10841,0.22769765,17765.85699,32148.23626,0.246790617,15550.41078,5370.360508,0.285460042,3004.725735,51215.20187,0.19664567,19739.64548,3529.517472,0.224589282,1553.675916,10516.24454,0.181100035,3732.804827,6521.257656,0.30382955,3883.447526,37004.71205,0.197249389,14306.34738
2007,14043.13553,0.207704073,5716.960231,44114.89556,0.206792599,17880.36248,34225.78378,0.224885173,15085.86775,2478.671101,0.332237979,1614.077005,58144.31623,0.184173415,20988.92906,7372.004897,0.223615389,3231.04773,14081.57131,0.203924802,5628.30003,2256.716967,0.263842026,1167.016881,42931.10726,0.227260037,19122.78904
2008,15839.88035,0.282902266,8783.030559,51374.63239,0.352967461,35541.80418,38155.38631,0.377910506,28261.86981,1808.422793,0.340373505,1206.456841,67214.37898,0.301669103,39741.94272,5444.778824,0.356466885,3804.131356,21805.92481,0.268904355,11492.86797,1674.596338,0.430028054,1411.441872,44194.10278,0.325947126,28233.68397
2009,8925.874996,0.337422344,5903.10774,34250.34074,0.383238233,25727.0385,21996.19106,0.413788496,17839.4708,802.1015949,0.361562154,568.4187772,43170.41363,0.365274365,30907.32907,3581.423098,0.36241377,2543.995808,16796.49998,0.348879322,11485.50498,760.2704065,0.326546089,486.5961221,46616.36209,0.330978971,30240.90966
2010,5440.832117,0.203182826,2166.747942,33585.86068,0.250602259,16496.71742,24890.83486,0.275683829,13449.52128,796.8759654,0.377838409,590.1370805,39020.56043,0.23651045,18088.38977,1875.257046,0.202105281,742.8387293,11463.72493,0.227653114,5115.115251,535.4030378,0.467179567,490.2535445,40950.62121,0.272466047,21869.00162
2011,7952.094971,0.368038065,5736.280344,21989.54635,0.214179102,9231.014542,16621.85114,0.220408865,7180.66254,4090.244165,0.636549355,5103.13888,27385.06324,0.206840868,11102.1265,2032.036659,0.327057992,1302.603904,7197.509361,0.238571334,3365.554049,3514.812707,0.720245207,4961.792929,38034.7913,0.25814318,19244.10711
2012,5841.449759,0.300561707,3441.20358,24836.81322,0.275485283,13410.66597,19858.11747,0.303272936,11803.962,1469.392199,0.4587202,1321.118172,30655.35453,0.255168917,15331.69547,2670.602464,0.329371112,1724.053834,6680.150839,0.249486744,3266.553796,2881.221208,0.546988675,3088.950928,27281.61595,0.331250176,17712.59858
2013,5515.356167,0.221360012,2392.923441,34140.69701,0.211665959,14163.78978,28358.48421,0.217151735,12069.86434,973.7432256,0.31539908,601.9507268,39650.15443,0.206761754,16068.34551,2023.581221,0.259851647,1030.62859,8300.244519,0.21596651,3513.446683,546.9193958,0.273920406,293.6322711,22030.59298,0.365522721,15783.25729
2014,12621.13928,0.375050707,9277.791739,48037.96353,0.186490277,17558.88169,36129.91537,0.192903684,13660.40381,2194.32617,0.631128339,2714.406806,60649.35971,0.192051326,22829.66832,6663.354489,0.441230786,5762.55119,15671.50677,0.19587159,6016.42178,1560.058976,0.622191349,1902.484191,50925.64987,0.229957594,22953.05023
2015,4984.303411,0.27016352,2639.290829,32120.81167,0.175027388,11019.16269,27209.2988,0.180229806,9611.696247,964.5826986,0.631873391,1194.608516,37085.31037,0.173946144,12643.65958,1822.093166,0.274457837,980.1719867,7109.140418,0.21468336,2991.379738,838.4105683,0.649441705,1067.217626,26295.63232,0.29254797,15077.75835
2016,2076.585379,0.25848812,1052.074395,25481.37507,0.146204907,7301.984057,22423.98077,0.149718381,6580.272898,663.3630675,0.575868324,748.7391646,27184.93605,0.147557404,7862.223617,537.9697629,0.409561639,431.8502848,3932.646842,0.190738104,1470.20698,771.5094428,0.575826013,870.7402042,33369.72809,0.260697758,17050.85007
2017,2238.962261,0.1778148,780.316429,23101.721,0.183916077,8327.604691,20841.59979,0.188560664,7702.615567,942.1712329,0.251973862,465.3089475,25335.2921,0.174484753,8664.419479,699.6079623,0.240371304,329.6047294,2857.304281,0.198360972,1110.884202,1192.666844,0.290930496,680.0869875,26423.55544,0.253696495,13138.98426
2018,2817.94919,0.237063936,1309.34689,13225.7525,0.138450306,3588.974579,12010.12192,0.146206942,3441.687864,606.2518593,0.339710592,403.6623494,16034.22581,0.137822765,4331.367414,1105.653842,0.242827388,526.2267477,2321.674062,0.208980103,950.9600228,520.4366033,0.32635689,332.9022198,12282.40959,0.225852971,5437.076646
2019,2792.711552,0.21814391,1194.057517,12431.07883,0.162467448,3958.505484,8964.723069,0.176933423,3108.871908,575.5028244,0.268031363,302.3355004,15169.89673,0.163258737,4854.171637,916.0392554,0.295184243,529.9846949,4767.52523,0.195174348,1823.777312,350.8688736,0.2698532,185.5788534,13088.25724,0.185426541,4756.744125
2021,2406.04767,0.241254321,1137.720017,15856.17183,0.217416742,6756.898549,12558.89252,0.245003956,6030.87756,636.629559,0.282427863,352.4117747,18235.36271,0.201581964,7204.803666,826.1790483,0.298220167,482.9111771,4240.518379,0.182511321,1516.92752,361.301233,0.397136024,281.2320411,9944.457862,0.247033092,4814.955949
